MODL,REPL,MTHD,SUPP_MTHD,SUPP,BRLN
100M1,R0,FastTree,local,98.7,0.22251
100M1,R0,FastTree,local,100.0,0.4115
100M1,R0,FastTree,local,100.0,0.49273
100M1,R0,FastTree,local,91.7,0.16695
100M1,R0,FastTree,local,97.89999999999999,0.22306
100M1,R0,FastTree,local,100.0,0.82116
100M1,R0,FastTree,local,100.0,0.70234
100M1,R0,FastTree,local,89.9,0.18584
100M1,R0,FastTree,local,100.0,1.117
100M1,R0,FastTree,local,100.0,1.33843
100M1,R0,FastTree,local,100.0,0.46433
100M1,R0,FastTree,local,100.0,0.13234
100M1,R0,FastTree,local,100.0,0.22723
100M1,R0,FastTree,local,100.0,0.20926
100M1,R0,FastTree,local,100.0,0.11379
100M1,R0,FastTree,local,100.0,0.15799
100M1,R0,FastTree,local,99.1,0.08819
100M1,R0,FastTree,local,75.6,0.02404
100M1,R0,FastTree,local,87.3,0.03382
100M1,R0,FastTree,local,88.7,0.05598
100M1,R0,FastTree,local,91.7,0.12534
100M1,R0,FastTree,local,98.2,0.26568
100M1,R0,FastTree,local,71.6,0.05058
100M1,R0,FastTree,local,100.0,0.38834
100M1,R0,FastTree,local,94.19999999999999,0.01252
100M1,R0,FastTree,local,51.6,0.00648
100M1,R0,FastTree,local,82.3,0.02474
100M1,R0,FastTree,local,99.9,0.15166
100M1,R0,FastTree,local,96.7,0.17184
100M1,R0,FastTree,local,99.1,0.3447
100M1,R0,FastTree,local,84.7,0.10454
100M1,R0,FastTree,local,96.3,0.1878
100M1,R0,FastTree,local,100.0,0.55908
100M1,R0,FastTree,local,99.7,0.29951
100M1,R0,FastTree,local,97.0,0.09129
100M1,R0,FastTree,local,87.3,0.09728
100M1,R0,FastTree,local,100.0,0.72134
100M1,R0,FastTree,local,100.0,0.23797
100M1,R0,FastTree,local,100.0,0.46697
100M1,R0,FastTree,local,100.0,0.30217
100M1,R0,FastTree,local,100.0,0.38107
100M1,R0,FastTree,local,96.89999999999999,0.12407
100M1,R0,FastTree,local,28.000000000000004,0.00091
100M1,R0,FastTree,local,99.9,0.17474
100M1,R0,FastTree,local,85.39999999999999,0.03245
100M1,R0,FastTree,local,100.0,0.18674
100M1,R0,FastTree,local,99.7,0.10305
100M1,R0,FastTree,local,100.0,0.15731
100M1,R0,FastTree,local,100.0,0.14406
100M1,R0,FastTree,local,76.7,0.03129
100M1,R0,FastTree,local,100.0,0.19603
100M1,R0,FastTree,local,100.0,0.03032
100M1,R0,FastTree,local,100.0,0.38757
100M1,R0,FastTree,local,98.4,0.12551
100M1,R0,FastTree,local,99.8,0.25606
100M1,R0,FastTree,local,100.0,0.29358
100M1,R0,FastTree,local,100.0,0.40715
100M1,R0,FastTree,local,69.19999999999999,0.01729
100M1,R0,FastTree,local,99.9,0.4285
100M1,R0,FastTree,local,93.0,0.14
100M1,R0,FastTree,local,81.8,0.06034
100M1,R0,FastTree,local,99.2,0.23521
100M1,R0,FastTree,local,88.8,0.07928
100M1,R0,FastTree,local,100.0,0.84668
100M1,R0,FastTree,local,100.0,0.06091
100M1,R0,FastTree,local,99.5,0.02268
100M1,R0,FastTree,local,100.0,0.19892
100M1,R0,FastTree,local,88.6,0.05163
100M1,R0,FastTree,local,100.0,0.2726
100M1,R0,FastTree,local,100.0,0.18415
100M1,R0,FastTree,local,98.5,0.13892
100M1,R0,FastTree,local,99.6,0.16149
100M1,R0,FastTree,local,100.0,0.26882
100M1,R0,FastTree,local,100.0,0.75115
100M1,R0,FastTree,local,99.9,0.35686
100M1,R0,FastTree,local,99.9,0.31511
100M1,R0,FastTree,local,88.8,0.11223
100M1,R0,FastTree,local,89.9,0.07963
100M1,R0,FastTree,local,100.0,0.67723
100M1,R0,FastTree,local,94.89999999999999,0.08843
100M1,R0,FastTree,local,98.7,0.14206
100M1,R0,FastTree,local,99.4,0.19595
100M1,R0,FastTree,local,93.0,0.11774
100M1,R0,FastTree,local,82.8,0.07349
100M1,R0,FastTree,local,84.7,0.07296
100M1,R0,FastTree,local,93.5,0.11902
100M1,R0,FastTree,local,100.0,0.27873
100M1,R0,FastTree,local,82.6,0.04708
100M1,R0,FastTree,local,74.9,0.07719
